74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
73.5,0
73.5,0
73.5,0
74.2,0
74.2,0
74.2,0
74.2,0
32.6,3
74.4,0
74.4,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
74.2,0
14.5,1
14.5,1
13.0,1
11.3,1
10.9,1
10.9,1
10.9,1
12.0,1
13.0,1
17.4,2
17.4,2
16.4,2
17.2,2
17.5,2
17.4,2
18.5,2
19.9,2
22.1,2
25.7,3
25.5,3
25.5,3
26.7,3
27.1,3
28.0,3
28.2,3
29.0,3
28.2,3
29.4,3
33.0,3
33.6,3
35.7,4
37.6,4
37.6,4
39.2,4
38.5,4
38.9,4
38.9,4
39.1,4
39.1,4
39.9,4
39.9,4
41.0,4
44.6,4
49.2,0
49.2,0
47.3,0
47.3,0
47.3,0
46.4,0
46.4,0
46.4,0
46.4,0
46.9,0
46.9,0
52.7,0
52.7,0
49.2,0
49.2,0
48.3,0
48.3,0
48.3,0
53.7,0
53.7,0
52.5,0
52.5,0
