3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
2.3,0
2.3,0
2.3,0
2.3,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
2.8,0
2.8,0
2.8,0
2.8,0
2.8,0
2.8,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.2,0
3.2,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.0,0
3.2,0
3.2,0
3.2,0
3.2,0
3.2,0
3.2,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.1,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.6,0
3.8,0
3.8,0
3.8,0
3.8,0
3.8,0
3.8,0
3.8,0
3.8,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
3.8,0
3.8,0
3.8,0
3.8,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.0,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.4,0
4.6,0
4.6,0
4.6,0
4.6,0
4.6,0
4.6,0
4.6,0
4.6,0
4.0,0
4.0,0
4.0,0
4.0,0
4.6,0
4.6,0
4.9,0
4.9,0
4.9,0
4.9,0
4.9,0
4.9,0
5.1,1
4.6,0
4.6,0
4.6,0
5.1,1
5.0,1
5.8,1
6.7,1
7.2,1
7.4,1
7.7,1
7.8,1
8.2,1
8.6,1
9.3,1
9.1,1
10.1,1
10.3,1
10.9,1
11.4,1
11.8,1
12.6,1
12.8,1
12.9,1
13.0,1
13.5,1
13.7,1
13.9,1
13.8,1
14.3,1
14.5,1
14.9,1
15.6,2
15.7,2
15.6,2
15.6,2
15.4,2
15.4,2
15.4,2
15.8,2
16.6,2
17.5,2
17.9,2
18.3,2
18.4,2
18.5,2
18.9,2
19.7,2
19.9,2
20.5,2
21.3,2
21.7,2
22.7,2
22.9,2
23.7,2
23.6,2
24.9,2
25.1,3
25.1,3
25.1,3
25.1,3
25.1,3
24.9,2
24.9,2
24.9,2
24.3,2
24.9,2
25.1,3
25.1,3
25.7,3
25.9,3
26.3,3
25.9,3
26.5,3
26.3,3
27.3,3
29.0,3
28.1,3
30.3,3
30.4,3
32.2,3
32.8,3
32.9,3
32.9,3
33.4,3
34.5,3
35.3,4
35.3,4
35.5,4
35.7,4
36.4,4
36.6,4
36.4,4
36.6,4
37.0,4
37.6,4
38.5,4
39.1,4
39.7,4
40.3,4
41.2,4
41.8,4
42.7,4
43.9,4
44.0,4
44.3,4
44.8,4
45.4,0
45.6,0
45.6,0
45.6,0
45.6,0
45.6,0
45.6,0
45.6,0
45.5,0
45.5,0
45.5,0
45.5,0
45.5,0
45.5,0
45.5,0
45.5,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.0,0
46.2,0
46.2,0
46.2,0
46.2,0
46.2,0
46.2,0
46.2,0
46.2,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.4,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.3,0
47.3,0
47.4,0
47.4,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.3,0
47.5,0
47.5,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
46.9,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.1,0
47.3,0
47.3,0
47.3,0
47.3,0
47.5,0
47.5,0
47.5,0
47.9,0
47.9,0
47.4,0
47.4,0
47.9,0
47.9,0
48.3,0
48.3,0
48.3,0
48.3,0
48.3,0
48.8,0
48.8,0
48.8,0
48.8,0
49.0,0
49.0,0
49.0,0
49.0,0
49.0,0
49.2,0
49.2,0
49.2,0
49.2,0
49.2,0
49.1,0
49.1,0
49.2,0
49.2,0
49.6,0
49.6,0
49.8,0
49.8,0
49.8,0
50.0,0
50.0,0
50.0,0
50.0,0
50.4,0
50.4,0
50.6,0
50.6,0
50.6,0
50.9,0
50.9,0
50.9,0
50.9,0
51.1,0
51.1,0
51.1,0
51.0,0
51.0,0
51.5,0
51.5,0
51.5,0
51.5,0
51.7,0
51.7,0
51.7,0
51.7,0
51.7,0
51.9,0
51.9,0
51.9,0
51.9,0
51.8,0
51.8,0
51.8,0
51.8,0
51.8,0
52.1,0
52.1,0
52.7,0
52.7,0
52.7,0
52.7,0
52.7,0
52.7,0
52.7,0
53.2,0
53.2,0
53.4,0
53.4,0
53.4,0
53.4,0
53.4,0
53.6,0
53.6,0
53.6,0
53.6,0
53.6,0
53.8,0
53.8,0
53.8,0
53.8,0
53.7,0
53.7,0
54.4,0
54.4,0
54.4,0
54.6,0
54.6,0
54.6,0
54.6,0
55.1,0
55.1,0
55.1,0
55.1,0
55.1,0
55.1,0
55.1,0
54.4,0
54.4,0
54.4,0
54.4,0
54.2,0
54.2,0
53.7,0
53.7,0
53.7,0
53.6,0
53.6,0
53.6,0
53.6,0
53.6,0
53.4,0
53.4,0
53.2,0
53.2,0
52.7,0
52.7,0
52.5,0
52.5,0
52.5,0
52.7,0
52.7,0
51.8,0
51.8,0
51.9,0
51.9,0
51.9,0
51.7,0
51.7,0
51.0,0
51.0,0
51.1,0
51.1,0
50.4,0
50.4,0
50.4,0
50.0,0
50.0,0
50.0,0
50.0,0
50.0,0
50.0,0
49.9,0
49.9,0
49.1,0
49.1,0
49.1,0
49.1,0
49.1,0
49.2,0
49.2,0
49.0,0
49.0,0
49.2,0
49.2,0
49.2,0
48.3,0
48.3,0
48.3,0
48.3,0
48.3,0
48.3,0
48.3,0
48.1,0
48.1,0
48.1,0
48.1,0
47.9,0
47.9,0
